id_j;edad;altura;pie_habil;nacionalidad;nombre;valor_mercado_en_miles;id_club;posicion
1272;21;1,94;derecho;Colombia;Santiago Cubides;950;109;Delantero centro
1273;30;1,8;derecho;Colombia;José Luis Chunga;800;110;Portero
1274;27;1,83;derecho;Colombia;Pier Grazziani;800;110;Portero
1275;24;1,6;derecho;Colombia;Jaime Mora;800;110;Portero
1276;24;1,85;izquierdo;Colombia;Juan Camilo Arturo;150;110;Portero
1277;32;1,88;izquierdo;Colombia;Jáider Riquett;990;110;Defenza central
1278;31;1,9;derecho;Colombia;Luciano Ospina;600;110;Defenza central
1279;26;1,85;derecho;Colombia;Carlos Pérez;700;110;Defenza central
1280;26;1,81;derecho;Colombia;Richard Rentería;600;110;Defenza central
1281;32;1,7;izquierdo;Colombia;Leonardo Saldaña;100;110;Lateral izquierdo
1282;23;1,7;izquierdo;Colombia;Tomás Clavijo;200;110;Lateral izquierdo
1283;25;1,7;derecho;Colombia;Yhormar Hurtado;900;110;Lateral derecho
1284;25;1,6;derecho;Colombia;Jair Castillo;250;110;Lateral derecho
1285;22;1,77;derecho;Colombia;Efraín Navarro;200;110;Lateral derecho
1286;30;1,8;derecho;Colombia;Carlos Moreno;120;110;Lateral derecho
1287;24;1,6;derecho;Colombia;Juan Mancilla;400;110;Pivote
1288;29;1,77;derecho;Colombia;Freddy Flórez;652;110;Pivote
1289;26;1,81;derecho;Colombia;Royscer Colpa;822;110;Pivote
1290;30;1,93;izquierdo;Colombia;Julián Guevara;480;110;Mediocentro
1291;22;1,84;derecho;Colombia;Rubén Manjarrés;300;110;Mediocentro
1292;28;1,8;derecho;Colombia;Kevin Londoño;275;110;Interior derecho
1293;28;1,73;derecho;Colombia;Estefano Arango;150;110;Extremo izquierdo
1294;27;1,8;izquierdo;Colombia;Sebastián Acosta;280;110;Extremo izquierdo
1295;18;1,74;derecho;Colombia;Luis Miguel Angulo;950;110;Extremo izquierdo
1296;27;1,79;derecho;Colombia;Daniel Moreno;800;110;Extremo derecho
1297;23;1,76;derecho;Colombia;Stiwart Acuña;800;110;Extremo derecho
1298;22;1,6;derecho;Colombia;Andrés Morales;800;110;Extremo derecho
1299;30;1,83;derecho;Colombia;Brayan Fernández;150;110;Delantero centro
1300;20;1,85;derecho;Colombia ;Brayan Gil Hurtado;990;110;Delantero centro
1301;32;1,6;derecho;Argentina;Pablo Bueno;600;110;Delantero centro
1302;23;1,71;derecho;Colombia;Julián Zea;150;110;Delantero centro
1303;20;1,6;derecho;Colombia;Jesús Muñoz;280;110;Delantero centro
1304;26;1,9;derecho;Colombia;Sergio Román;950;111;Portero
1305;27;1,87;derecho;Uruguay;Washington Ortega;800;111;Portero
1306;23;1,8;derecho;Colombia;Andrés Pérez;800;111;Portero
1307;30;1,9;derecho;Colombia;Nicolás Palacios;800;111;Defenza central
1308;32;1,78;derecho;Equatorial ;Yoiver González;150;111;Defenza central
1309;21;1,84;izquierdo;Colombia;Bleiner Agrón;990;111;Defenza central
1310;23;1,86;derecho;Colombia;Daniel Polanco;600;111;Defenza central
1311;28;1,69;izquierdo;Colombia;Amaury Torralvo;700;111;Lateral izquierdo
1312;28;1,75;izquierdo;Colombia;Andrés Correa;600;111;Lateral izquierdo
1313;35;1,69;derecho;Colombia;Carlos Arboleda;100;111;Lateral derecho
1314;25;1,76;derecho;Colombia;Joan Castro;200;111;Lateral derecho
1315;27;1,75;derecho;Colombia;Israel Alba;900;111;Lateral derecho
1316;31;1,81;derecho;Uruguay  ;Pablo Lima;250;111;Pivote
1317;34;1,78;derecho;Colombia;Juan Mahecha;300;111;Pivote
1318;38;1,7;izquierdo;Colombia;Stalin Motta;275;111;Pivote
1319;28;1,76;izquierdo;Colombia;Ederson Moreno;150;111;Mediocentro
1320;19;1,6;derecho;Colombia;Johan Rojas;280;111;Mediocentro
1321;26;1,81;izquierdo;Colombia;Jhonathan Caicedo;950;111;Interior izquierdo
1322;26;1,7;derecho;Colombia;Kevin Salazar;800;111;Mediocentro ofensivo
1323;21;1,73;derecho;Colombia;Juan Pablo Gallego;800;111;Extremo izquierdo
1324;24;1,75;derecho;Colombia;Neider Barona;800;111;Extremo izquierdo
1325;22;1,72;derecho;Colombia;Francisco Chaverra;150;111;Extremo izquierdo
1326;27;1,78;derecho;Colombia;Faber Gil;990;111;Extremo derecho
1327;21;1,82;derecho;Colombia;Joiner Moreno;600;111;Extremo derecho
1328;24;1,88;izquierdo;Colombia;Pablo Sabbag;150;111;Delantero centro
1329;27;1,7;derecho;Panama;Ronaldo Dinolis;280;111;Delantero centro
1330;24;1,88;derecho;Colombia;David Camacho;950;111;Delantero centro
1331;28;1,74;izquierdo;Colombia;Carlos Rivas;800;111;Delantero centro
1332;22;1,74;derecho;Colombia;José Estupiñan;800;111;Delantero centro
1333;29;1,85;derecho;Colombia;Juan Camilo Chaverra;800;112;Portero
1334;29;1,8;derecho;Colombia;James Aguirre;150;112;Portero
1335;32;1,83;derecho;Colombia;Sergio Avellaneda;990;112;Portero
1336;22;1,6;derecho;Colombia;Daniel Suárez;600;112;Portero
1337;33;1,87;izquierdo;Colombia;Carlos Henao;700;112;Defenza central
1338;25;1,83;derecho;Colombia;Jefferson Gómez;600;112;Defenza central
1339;32;1,82;derecho;Colombia;Jefferson Mena;100;112;Defenza central
1340;19;1,88;derecho;Colombia;Stevenson Jerez;200;112;Defenza central
1341;24;1,87;izquierdo;Colombia;Jaime Giraldo;900;112;Lateral izquierdo
1342;23;1,75;izquierdo;Colombia;Cristian Blanco;250;112;Lateral izquierdo
1343;30;1,7;derecho;Colombia;Cristian Subero;200;112;Lateral derecho
1344;34;1,72;izquierdo;Colombia;David Gómez;120;112;Lateral derecho
1345;28;1,7;derecho;Colombia;Jackson Montaño;400;112;Lateral derecho
1346;21;1,88;derecho;Colombia;Óscar Alcocer;652;112;Medio campo
1347;34;1,83;derecho;Colombia;Francisco Rodríguez;822;112;Pivote
1348;26;1,74;derecho;Colombia;Ronaldo Tavera;480;112;Pivote
