id_jugador;partidos_jugados;partidos_en_alineacion;puntos_por_partido;goles;autogoles;entra_sustituto;sustituido;amarillas;doble_amarilla;rojas;goles_concedidos;porterias_a_cero;minutos_jugados;asistencias;id_estadisticas_jugador
1599;15;15;0;0;0;0;2;3;0;0;0;0;1;4;998
1600;11;9;1;0;0;0;4;2;5;0;0;0;498;4;999
1601;17;16;1;0;0;0;3;5;3;0;0;0;1;4;1000
1602;14;14;1;0;0;0;4;3;4;0;1;0;830;4;1001
1603;14;14;1;0;0;0;4;3;4;0;1;0;830;4;1002
1604;6;3;1;0;0;0;3;0;0;0;0;0;66;4;1003
1605;18;17;0;0;0;0;2;1;1;1;0;0;1;4;1004
1606;11;11;1;0;0;0;0;8;5;0;0;0;840;4;1005
1607;6;4;1;0;0;0;4;0;0;0;1;0;39;4;1006
1608;16;16;1;3;1;0;2;11;7;0;0;1;1;4;1007
1609;16;16;1;1;0;0;4;9;6;0;0;0;1;4;1008
1610;6;6;1;0;0;0;5;1;1;0;0;0;147;4;1009
1611;8;7;1;0;0;0;4;1;0;0;0;0;342;4;1010
1612;14;14;1;1;0;0;4;8;1;0;0;0;794;4;1011
1613;14;12;1;0;0;0;5;3;4;0;0;0;719;4;1012
1614;6;1;48;0;0;0;1;0;0;0;0;0;13;4;1013
1615;18;18;1;0;3;0;5;3;2;0;0;0;1;4;1014
1616;9;9;0;2;0;0;1;3;0;0;0;1;646;4;1015
1617;17;15;0;1;0;0;8;6;3;0;0;0;734;4;1016
1618;12;10;1;0;0;0;6;4;0;0;0;0;391;4;1017
